	sen_prob	wrong_prob	sen_nll	wrong_nll	delta
59	[-0.9591445922851562, -17.63442611694336, -10.962810516357422, -5.753435134887695, -2.127145767211914, -10.459742546081543]	[-0.9591445922851562, -17.63442611694336, -10.962810516357422, -8.12479019165039, -2.9801855087280273, -9.567449569702148]	47.896705627441406	50.22880554199219	2.3320999145507812
60	[-1.747715950012207, -16.64388084411621, -10.618654251098633, -7.5627641677856445, -0.027088165283203125, -1.845407485961914, -11.283970832824707]	[-1.747715950012207, -16.64388084411621, -10.618654251098633, -7.5627641677856445, -3.6599998474121094, -1.4025955200195312, -11.31440258026123]	49.7294807434082	52.950008392333984	3.2205276489257812
61	[-1.3550090789794922, -14.91423511505127, -9.357985496520996, -7.277401447296143, -2.5598535537719727, -0.8984622955322266, -12.509011268615723]	[-1.3550090789794922, -14.91423511505127, -9.357985496520996, -7.277401447296143, -2.709928512573242, -0.8315553665161133, -11.385150909423828]	48.8719596862793	47.83126449584961	-1.0406951904296875
62	[-1.544722557067871, -17.055721282958984, -11.68819808959961, -11.291366577148438, -2.1951236724853516, -0.6682052612304688, -11.717367172241211]	[-1.544722557067871, -17.055721282958984, -11.68819808959961, -11.291366577148438, -2.728875160217285, -0.3863258361816406, -11.589715003967285]	56.16070556640625	56.2849235534668	0.12421798706054688
63	[-0.9570407867431641, -15.739587783813477, -9.908498764038086, -0.8361568450927734, -0.8575496673583984, -9.905224800109863]	[-0.9570407867431641, -15.739587783813477, -9.908498764038086, -4.665148735046387, -0.8253488540649414, -9.230669021606445]	38.204063415527344	41.326297760009766	3.122234344482422
64	[-1.1601009368896484, -15.998329162597656, -9.962346076965332, -4.729888439178467, -0.9656410217285156, -10.684195518493652]	[-1.0947065353393555, -16.479930877685547, -8.526628494262695, -0.8357658386230469, -0.8342418670654297, -9.527376174926758]	43.5004997253418	37.298648834228516	-6.201850891113281
65	[-1.2658605575561523, -17.586685180664062, -10.72974967956543, -12.017733573913574, -0.6091384887695312, -0.5304737091064453, -11.45229434967041]	[-1.2658605575561523, -17.586685180664062, -10.72974967956543, -12.017733573913574, -1.456949234008789, -1.0465946197509766, -11.317770004272461]	54.19193649291992	55.42134475708008	1.2294082641601562
66	[-1.1526870727539062, -15.998882293701172, -10.912721633911133, -3.2285337448120117, -2.8278207778930664, -11.82089900970459]	[-1.1526870727539062, -15.998882293701172, -10.912721633911133, -9.068614959716797, -2.4742698669433594, -10.752620697021484]	45.94154739379883	50.359798431396484	4.418251037597656
67	[-1.3579673767089844, -15.959954261779785, -8.12856388092041, -2.7144851684570312, -0.12030601501464844, -1.3631439208984375, -9.087869644165039]	[-1.3579673767089844, -15.959954261779785, -8.12856388092041, -2.7144851684570312, -4.745396614074707, -8.542266845703125]	38.7322883605957	41.44863510131836	2.7163467407226562
68	[-1.0370216369628906, -18.119243621826172, -10.566198348999023, -1.6006460189819336, -0.04082679748535156, -4.218500137329102, -10.606542587280273]	[-1.0370216369628906, -18.119243621826172, -10.566198348999023, -1.6006460189819336, -4.651165008544922, -10.02233600616455]	46.18898010253906	45.996612548828125	-0.1923675537109375
